category,productCode,catCode,productName,description,noOfProduct,quantity,catalogueItemMarketPrice,catalogueItemDiscount,retailPrice,retailDiscount,GST,metaTitle,metaKeyword,metaDescription,weight,tag,cat_image,image,optionType,size,isActive,showInSingle,Color,Fabric,Occasion
Sarees,sulakshmi_7801,SULAKSHMI,Magenta Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Magenta Sulaxmi olivia Party wear soft saree,Magenta Sulaxmi olivia Party wear soft saree,Magenta Sulaxmi olivia Party wear soft saree,1,Viscose,,"sulakshmi_7801.jpg,sulakshmi_7801_1.webp",Stitching,,Y,Y,Magenta,Viscose,
Sarees,sulakshmi_7802,SULAKSHMI,Forest Green Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Forest Green Sulaxmi olivia Party wear soft saree,Forest Green Sulaxmi olivia Party wear soft saree,Forest Green Sulaxmi olivia Party wear soft saree,1,Viscose,,"sulakshmi_7802.jpg,sulakshmi_7802_1.webp",Stitching,,Y,Y,Green,Viscose,
Sarees,sulakshmi_7803,SULAKSHMI,Army Green Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Army Green Sulaxmi olivia Party wear soft saree,Army Green Sulaxmi olivia Party wear soft saree,Army Green Sulaxmi olivia Party wear soft saree,1,Viscose,,"sulakshmi_7803.jpg,sulakshmi_7803_1.webp",Stitching,,Y,Y,Green,Viscose,
Sarees,sulakshmi_7804,SULAKSHMI,Sky Blue Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Sky Blue Sulaxmi olivia Party wear soft saree,Sky Blue Sulaxmi olivia Party wear soft saree,Sky Blue Sulaxmi olivia Party wear soft saree,1,Viscose,,"sulakshmi_7804.jpg,sulakshmi_7804_1.webp",Stitching,,Y,Y,Sky Blue,Viscose,
Sarees,sulakshmi_7805,SULAKSHMI,Pink Sulaxmi olivia Party wear soft saree,"*This Saree Is Made From Light And Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*

*Fabric: Viscose And Art Silk & Enhanced With Tassels, Zari, Sequins Work And Woven With Resham In Floral Motifs*

*Blouse: Embroidery Work & Zari Viewing Soft Fancy Contrast Blouse*

*Zari Woven Soft Saree With Beautiful Rich Pallu & Embroidery Work Blouse For Women Traditional Authentic Designer saree*",,10,4000,0,5000,0,5,Pink Sulaxmi olivia Party wear soft saree,Pink Sulaxmi olivia Party wear soft saree,Pink Sulaxmi olivia Party wear soft saree,1,Viscose,,"sulakshmi_7805.jpg,sulakshmi_7805_1.webp",Stitching,,Y,Y,Pink,Viscose,
Sarees,,BEAUTIFUL SAREE,BEAUTIFUL HEAVY BURBERRY SAREE ,"Blouse :- Running With Work.

Work :-Heavy Thread Embroidery With Zarkan Stone Work. Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*
",4,10,20000,10,3600,10,5,BEAUTIFUL HEAVY BURBERRY SAREE ,BEAUTIFUL HEAVY BURBERRY SAREE ,BEAUTIFUL HEAVY BURBERRY SAREE ,1,Burberry,cover-2.webp,,Stitching,,Y,Y,,Burberry,
Sarees,BEAUTIFUL SAREE-A,BEAUTIFUL SAREE,BEAUTIFUL HEAVY BURBERRY SAREE 5901 B,"Blouse :- Running With Work.

Work :-Heavy Thread Embroidery With Zarkan Stone Work. Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*
",,20,3600,0,4000,5,5,BEAUTIFUL HEAVY BURBERRY SAREE 5901 B,BEAUTIFUL HEAVY BURBERRY SAREE 5901 B,BEAUTIFUL HEAVY BURBERRY SAREE 5901 B,1,Burberry,,saree-3.webp,Stitching,,Y,Y,Teal,Burberry,
Sarees,BEAUTIFUL SAREE-B,BEAUTIFUL SAREE,BEAUTIFUL HEAVY BURBERRY SAREE 5902 B,"Blouse :- Running With Work.

Work :-Heavy Thread Embroidery With Zarkan Stone Work. Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*
",,20,3600,0,4000,5,5,BEAUTIFUL HEAVY BURBERRY SAREE 5902 B,BEAUTIFUL HEAVY BURBERRY SAREE 5902 B,BEAUTIFUL HEAVY BURBERRY SAREE 5902 B,1,Burberry,,saree-4.webp,Stitching,,Y,Y,Green,Burberry,
Sarees,BEAUTIFUL SAREE-C,BEAUTIFUL SAREE,BEAUTIFUL HEAVY BURBERRY SAREE 5903 B,"Blouse :- Running With Work.

Work :-Heavy Thread Embroidery With Zarkan Stone Work. Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*
",,20,3600,0,4000,5,5,BEAUTIFUL HEAVY BURBERRY SAREE 5903 B,BEAUTIFUL HEAVY BURBERRY SAREE 5903 B,BEAUTIFUL HEAVY BURBERRY SAREE 5903 B,1,Burberry,,saree-5.webp,Stitching,,Y,Y,Pink,Burberry,
Sarees,BEAUTIFUL SAREE-D,BEAUTIFUL SAREE,BEAUTIFUL HEAVY BURBERRY SAREE 5904 B,"Blouse :- Running With Work.

Work :-Heavy Thread Embroidery With Zarkan Stone Work. Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*
",,20,3600,0,4000,5,5,BEAUTIFUL HEAVY BURBERRY SAREE 5903 B,BEAUTIFUL HEAVY BURBERRY SAREE 5903 B,BEAUTIFUL HEAVY BURBERRY SAREE 5903 B,1,Burberry,,saree-6.webp,Stitching,,Y,Y,Blue,Burberry,
Sarees,,PANIHARI PAITHANI,Delight Paithani Silk Weaving Saree ,"Blouse :- Running With Work.

Work :-Heavy Thread Embroidery With Zarkan Stone Work. Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*
",7,10,28000,10,3200,10,5,Delight Paithani Silk Weaving Saree ,Delight Paithani Silk Weaving Saree ,Delight Paithani Silk Weaving Saree ,1,Silk,saree-48_cover.jpg,,Stitching,,Y,Y,,Burberry,
Sarees,PANIHARI PAITHANI-A,PANIHARI PAITHANI,Delight Paithani Silk Weaving Saree In Beige Color,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,3200,20,3500,10,5,Delight Paithani Silk Weaving Saree In Beige Color,Delight Paithani Silk Weaving Saree In Beige Color,Delight Paithani Silk Weaving Saree In Beige Color,1,"satin,silk",,"saree-42.jpg,saree-43.jpg",Stitching,,Y,Y,Beige,Silk,
Sarees,PANIHARI PAITHANI-B,PANIHARI PAITHANI,Delight Paithani Silk Weaving Saree In Pink Color,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,3200,20,3500,10,5,Delight Paithani Silk Weaving Saree In Pink Color,Delight Paithani Silk Weaving Saree In Beige Color,Delight Paithani Silk Weaving Saree In Beige Color,1,"satin,silk",,"saree-44.jpg,saree-45.jpg",Stitching,,Y,Y,Pink,Silk,
Sarees,PANIHARI PAITHANI-C,PANIHARI PAITHANI,Delight Paithani Silk Weaving Saree In Purple Color,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,3200,20,3500,10,5,Delight Paithani Silk Weaving Saree In Purple Color,Delight Paithani Silk Weaving Saree In Purple Color,Delight Paithani Silk Weaving Saree In Purple Color,1,"satin,silk",,"saree-46.jpg,saree-47.jpg",Stitching,,Y,Y,Purple,Silk,
Sarees,PANIHARI PAITHANI-D,PANIHARI PAITHANI,Delight Paithani Silk Weaving Saree In Sky Blue Color,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,3200,20,3500,10,5,Delight Paithani Silk Weaving Saree In Sky Blue Color,Delight Paithani Silk Weaving Saree In Sky Blue Color,Delight Paithani Silk Weaving Saree In Sky Blue Color,1,"satin,silk",,"saree-48.jpg,saree-49.jpg",Stitching,,Y,Y,Sky Blue,Silk,
Sarees,PANIHARI PAITHANI-E,PANIHARI PAITHANI,Delight Paithani Silk Weaving Saree In Green Color,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,3200,20,3500,10,5,Delight Paithani Silk Weaving Saree In Green Color,Delight Paithani Silk Weaving Saree In Green Color,Delight Paithani Silk Weaving Saree In Green Color,1,"satin,silk",,"saree-50.jpg,saree-51.jpg",Stitching,,Y,Y,Green,Silk,
Sarees,PANIHARI PAITHANI-F,PANIHARI PAITHANI,Delight Paithani Silk Weaving Saree In Red Color,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,3200,20,3500,10,5,Delight Paithani Silk Weaving Saree In Red Color,Delight Paithani Silk Weaving Saree In Red Color,Delight Paithani Silk Weaving Saree In Red Color,1,"satin,silk",,"saree-52.jpg,saree-53.jpg",Stitching,,Y,Y,Red,Silk,
Sarees,PANIHARI PAITHANI-G,PANIHARI PAITHANI,Delight Paithani Silk Weaving Saree In Blue Color,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,3200,20,3500,10,5,Delight Paithani Silk Weaving Saree In Blue Color,Delight Paithani Silk Weaving Saree In Blue Color,Delight Paithani Silk Weaving Saree In Blue Color,1,"satin,silk",,"saree-52.jpg,saree-53.jpg",Stitching,,Y,Y,Blue,Silk,
Sarees,,VIRASAT,Traditional Handloom Weaving Silk Saree,"Blouse :- Running With Work.

Work :-Heavy Thread Embroidery With Zarkan Stone Work. Soft Fabric That Enhances Its Beauty And Makes It Comfortable To Wear All Day Long.*
",4,10,10000,20,2000,10,5,Traditional Handloom Weaving Silk Saree,Traditional Handloom Weaving Silk Saree,Traditional Handloom Weaving Silk Saree,1,Silk,virasat_cover.jpg,,Stitching,,Y,Y,,Burberry,
Sarees,VIRASAT-A,VIRASAT,Traditional Handloom off white Weaving Silk Saree,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,2000,20,3500,10,5,Traditional Handloom off white Weaving Silk Saree,Traditional Handloom off white Weaving Silk Saree,Traditional Handloom off white Weaving Silk Saree,1,Silk,,"saree-31.jpg,saree-33.jpg",Stitching,,Y,Y,Off White,Silk,
Sarees,VIRASAT-B,VIRASAT,Traditional Handloom green Weaving Silk Saree,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,2000,20,3500,10,5,Traditional Handloom green Weaving Silk Saree,Traditional Handloom green Weaving Silk Saree,Traditional Handloom green Weaving Silk Saree,1,Silk,,"saree-34.jpg,saree-35.jpg",Stitching,,Y,Y,Green,Silk,
Sarees,VIRASAT-C,VIRASAT,Traditional Handloom teal Weaving Silk Saree,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,2000,20,3500,10,5,Traditional Handloom teal Weaving Silk Saree,Traditional Handloom teal Weaving Silk Saree,Traditional Handloom teal Weaving Silk Saree,1,Silk,,"saree-36.jpg,saree-37.jpg,saree-38.jpg,",Stitching,,Y,Y,Teal,Silk,
Sarees,VIRASAT-D,VIRASAT,Traditional Handloom Maroon Weaving Silk Saree,"Step into timeless beauty with the Elegant Reach Color Paithani Silk Weaving Saree, an ideal choice for function wear. This exquisite saree features meticulously crafted silk that feels luxurious against the skin. Its traditional design elements combined with a modern color palette ensure that you shine on every occasion. Perfect for weddings, festivals, and formal gatherings, this saree allows you to make a fashion statement while maintaining a classic charm. Style it with elegant heels and a chic clutch for a complete ensemble.",,10,2000,20,3500,10,5,Traditional Handloom Maroon Weaving Silk Saree,Traditional Handloom Maroon Weaving Silk Saree,Traditional Handloom Maroon Weaving Silk Saree,1,Silk,,"saree-39.jpg,saree-40.jpg,saree-41.jpg",Stitching,,Y,Y,Maroon,Silk,
